,GQQ,LDA,serie
0,0.13571538015328444,0.34900154070134765,[1.78954919 1.34490588 1.01074161 ... 1.34490588 1.34490588 1.78954919]
1,0.04899027586071425,0.22308896423183044,[1.03809355 1.17973341 1.03809355 ... 0.80378837 1.03809355 0.9134591 ]
2,0.4196652384005798,0.8318095167386784,[0.41942058 0.23091144 0.12712799 ... 2.5134056  1.38375211 2.5134056 ]
3,0.18972250199778984,0.4584708410608479,[0.97442135 0.68357179 0.68357179 ... 0.68357179 0.97442135 1.38902304]
4,0.06462551163909913,0.24317249147461814,[1.22701409 1.03900163 1.44904834 ... 0.87979786 0.63083569 0.74498852]
5,0.07436607379612548,0.303841451796761,[1.25026896 1.50668586 1.25026896 ... 1.03749064 1.25026896 1.03749064]
6,0.22223925398490108,0.4875551540573988,[1.40479947 0.94916607 0.94916607 ... 0.43330923 0.29276949 0.19781248]
7,0.20538197711718809,0.5613013965969186,[0.96252514 0.66294395 0.96252514 ... 2.02900271 1.39748564 0.96252514]
8,0.05592502954891565,0.1941515273577439,[1.03914187 1.20263006 1.39183986 ... 0.67035246 0.57922326 0.67035246]
9,0.41925541132840016,0.8011145442894148,[0.76225942 1.38397186 0.41983471 ... 0.07014633 0.12735893 0.23123516]
10,0.06749677966418532,0.2491268786578446,[1.03868478 0.87410426 1.03868478 ... 1.23425331 1.23425331 1.03868478]
11,0.16226612809862118,0.4552761302690792,[0.99390916 0.72116437 0.72116437 ... 1.88786768 0.99390916 1.36980618]
12,0.0780548394222611,0.24712388638621446,[0.57974224 0.7036624  0.85407056 ... 1.25820835 1.03662853 0.85407056]
13,0.045099434147527484,0.2608755596219774,[1.03687246 1.16499906 1.16499906 ... 1.16499906 1.03687246 0.92283723]
14,0.08167276844924387,0.3010961582673367,[0.56749646 0.6935004  0.56749646 ... 1.03565195 1.26560268 1.54661046]
15,0.10104645360916054,0.31398119971709076,[1.02862853 0.81402564 0.64419537 ... 1.64247787 1.64247787 2.07548695]
16,0.2552306703586591,0.6376138196546478,[2.17040137 1.41426476 1.41426476 ... 0.39129358 0.39129358 0.60049868]
17,0.05003642773493644,0.2766540866711231,[1.34881438 1.18343621 1.18343621 ... 1.18343621 1.34881438 1.53730316]
